"Name","Mmax","Color","Spec. Type","R.A.","Dec.","R.A.'","Dec.'","v☉","vgal","Pbound","dL (kpc)"
"TYC 2456-2178-1","-14.4896","0.9145,-2.00542","F2","07:28:27.5999,07:28:27.7001","+33:02:58.98,+33:02:58.1908","78.977","-49.445","-243.08,-244.87,-243.13","372.497","0.998683","0.820291"
"LMST_HVS5","-10.9921","0.8146,0.40577","F2, G0","11:54:45.93,11:54:46.0231","+52:35:20.3,+52:35:19.0716","56.3","-76.4","-219,-227.24","371.829","0.998983","0.813676"
"SDSSJ090710.08+365957.5","-14.8703","-0.0633,-0.31134","A, B, B9","09:07:10.07,09:07:10.08,09:07:10.0818","+36:59:57.54,+36:59:57.5,+36:59:57.5103","-0.687","-0.147","306,298,289.78","371.692","0.615696","39.8107"
"LMST_HVS13","-10.8256","0.7186,0.32087","F0, M2","12:31:34.97,12:31:34.9909","+42:47:36.1,+42:47:35.5777","17.2","-49.2","-266,-257.22,-265.67","371.129","0.998683","1.56029"
"GaiaDR2 577991","-16.6505","1.7113","","15:41:25.8566","-77:16:59.4592","-11.432","-8.403","-13.31","370.836","0.950685","7.31903"
"SDSSJ075055.24+472822.9","-16.281","-0.0458,-0.26925","B6","07:50:55.24,07:50:55.2407","+47:28:22.9,+47:28:22.9735","-0.449","-1.564","279","366.208","0.611396","34.0295"
"HiVel5","-10.6547","0.6435","","17:00:59.2799","+07:44:27.7579","-153.483","12.016","-420,-416.59","363.021","0.999383","0.287714"
"LP 93-21","-0.649764","0.2352","","10:45:57.3747,10:45:57.3747","+59:04:28.6472,+59:04:28.6472","-1019.2","-1462.53","15","362.853","0.909086","0.0416826"
"SDSSJ232229.47+043651.45","-14.8712","0.0957,-0.19329","A, B","23:22:29.47,23:22:29.4791","+04:36:51.45,+04:36:51.4843","2.029","-1.333","133,130","362.13","0.763691","31.3163"
"SDSSJ180050.86+482424.63","-15.1601","-0.0622,-0.28459","A, B","18:00:50.86,18:00:50.86","+48:24:24.63,+48:24:24.581","-1.428","-1.072","62,71.1","360.745","0.774491","36.4578"
"Gaia-T-ES22","-17.4699","1.2202,3.71357","G6","15:35:42.6865","+46:34:07.6311","-19.56","-9.367","48.19,45.868","360.438","0.982684","4.7666"
"HD214362","-15.0448","0.7681","","22:37:58.67174,22:37:58.8673","-22:38:40.1575,-22:38:41.0041","173.39","-55.61","-92.4,-91.61","359.631","0.999383","0.507203"
"MoniBidin403","-18.627","-0.3365","","04:36:09.7726","-58:37:07.3782","1.603","0.865","212","359.527","0.575797","52.96"
"GaiaDR2 198986","-16.9219","1.3938","","22:42:02.3284","+51:36:39.944","10.34","5.09","-75.7","357.984","0.939385","7.05861"
"GaiaDR2 649239","-16.2396","1.2925","","23:14:35.196,23:14:35.1954","-58:25:46.452,-58:25:46.4683","7.502","-15.822","-149.86","356.728","0.974984","6.00072"
"mpHVS2","-10.8","0.7630,0.34656","F","22:16:25.92,22:16:25.9234","+00:35:55.4,+00:35:55.3375","-21.12","0.82","-503,-521.05","356.471","0.999083","6.3"
"TYC 4515-1197-1","-12.5455","1.0240","","05:18:51.9272,05:18:52.3985","+77:50:01.432,+77:50:02.1303","95.62","45.734","-198.41,-197.63","354.909","0.999583","0.729675"
"mpHVS1","-9.81","0.9685,0.55722","F, G5","22:18:53.48,22:18:53.4836","-00:40:30.9,-00:40:31.0874","-41.69","22.69","-432,-442","353.865","0.999283","4.1"
"GaiaDR2 539996","-16.597","1.3557","","11:07:31.3927","-37:38:50.1658","-12.87","0.513","420.38","352.633","0.983884","6.13346"
"GaiaDR2 170241","-15.7225","1.0954","","16:05:08.2563","+73:08:23.945","-11.435","10.416","","351.618","0.958585","6.12053"
"GaiaDR2 208999","-17.1404","1.5126","","18:43:42.7626","+31:20:45.4845","-3.166","-9.504","-9.9","350.635","0.978184","8.02553"
"LMST_HVS16","-10.5309","0.6908,0.28174","F0","12:36:41.48,12:36:41.4534","+44:37:15.9,+44:37:15.2241","-23.7","-55.6","-259,-274.01","347.534","0.994283","1.70709"
"Li8","-10.5968","0.6321,0.23126","F, G, K, F0","11:31:16.03,11:31:15.9775","+57:11:31.1,+57:11:30.4648","-43.52","-38.49","-91,-92.936","344.862","0.971284","1.95639"
"LMST_HVS23","-11.3135","0.6545,0.26184","A0, F0","12:14:37.93,12:14:37.9688","+54:25:22.9,+54:25:22.0193","17","-62.6","-197,-218.92","344.368","0.999683","1.33279"
"RAVEJ142103.5-374549","-16.449","1.5737","","14:21:03.5,14:21:03.4483","-37:45:49,-37:45:48.9503","8.7","3.1","405.2,405.52","344.252","0.998983","3.963"
"HiVel2","-17.7388","1.2463,0.91825","G7","11:57:12.6554","+03:09:33.9667","-11.822","-3.686","413,417.35,416.11","344.129","0.999683","2.43153"
"TYC 3983-1873-1","-14.6832","1.2773","","22:33:22.2581,22:33:22.4854","+52:41:18.089,+52:41:19.2098","133.31","72.523","-165.28,-170.08","341.69","0.998983","0.556494"
"LMST_HVS27","-10.6693","0.9074,0.46919","G2, F9","10:27:57.74,10:27:57.571","+09:00:30,+09:00:29.6474","-160","-35","314,276.83","341.592","0.999583","0.412926"
"LMST_HVS26","","","F9","06:54:36.5","+17:03:13.8","-1.4","-16","307","340.974","0.950085","0.2"
"SDSSJ164419.44+452326.7","-10.8856","-0.5162,-0.52377","B, B9","16:44:19.44,16:44:19.4453","+45:23:26.7,+45:23:26.4547","4.7","-26.1","-314.1,-307.48","339.507","0.998983","3.62494"
"GaiaDR2 559310","-18.7554","1.8828","","07:33:04.6656,07:33:04.6645","-31:22:45.12,-31:22:45.1052","-1.582","2.113","104.44","338.4","0.936985","17.3748"
"LMST_HVS10","-12.4155","0.6748,-1.18846","A0, F5","11:02:08.65,11:02:08.7947","+57:52:00.2,+57:51:58.9783","70.6","-84","-227,-220.05","337.864","0.999782","0.653338"
"HiVel13","-11.763","0.6129,0.29386","","07:30:41.45","+24:05:06.6346","162.263","-233.306","-237,-235.8","337.788","0.999483","0.256215"
"RdM15","-7.19496","1.7566,1.30438","M0, K7","20:38:03.39,20:38:03.3467","+14:53:00.2,+14:52:58.8387","-64.7","-128.1","30.3,17.465","337.167","0.999383","0.521217"
"LMST_HVS1","-12.9605","0.6904,-0.15997","A5, F0","08:58:19.9,08:58:19.8795","+15:03:52.4,+15:03:51.701","-21.8","-54.3","415,408.92","336.977","0.999483","1.32485"
"SDSSJ141723.34+101245.7","-13.2967","-0.0822,-0.27726","A, B, A1","14:17:23.34,14:17:23.3359","+10:12:45.74,+10:12:45.7,+10:12:45.6798","-1.926","-0.821","284,282","334.973","0.818289","22.9325"
"HiVel11","-14.5561","0.9030,2.16052","","23:22:05.8779","+22:37:45.1709","0.574","-5.604","-504,-511.47","334.654","0.999583","2.28733"
"GaiaDR2 199054","-17.2036","1.8159","","22:56:01.5288,22:56:01.5295","+53:36:55.836,+53:36:55.8389","-4.769","-2.83","-83.38","334.288","0.992084","8.26289"
"RAVEJ161055.6-112009","-16.3982","1.7354","","16:10:55.6,16:10:55.6192","-11:20:09,-11:20:09.2066","-25.6","22.9","-296.8,-296.79","333.947","0.998983","4.6975"
"RdM13","-6.91496","1.7871,1.36181","M0, K7","18:25:47.07,18:25:47.1533","+64:13:55.5,+64:13:56.6123","45.2","138.9","-206,-229.42","333.546","0.999383","0.46883"
