"Name","Mmax","Color","Spec. Type","R.A.","Dec.","R.A.'","Dec.'","v☉","vgal","Pbound","dL (kpc)"
"Pal5","-9.74288","1.5344,1.02898","G, K, G9","18:50:18.09,18:50:18.089","+19:12:36.1,+19:12:36.0914","0.04","-3.533","58,51.448","272.201","0.999683","4.3933"
"LMST_HVS17","-12.1549","0.6603,0.33991","F0","08:56:23.74,08:56:23.6792","+21:13:22.3,+21:13:21.6813","-60","-47.3","235,204.46","270.51","0.999683","0.85709"
"SDSSJ071033.40+392823.81","-9.19835","0.9208,0.48462","F, G, K, M, G1","07:10:33.4,07:10:33.4002","+39:28:23.81,+39:28:23.8346","-2.799","0.659","5.4483","270.499","0.998783","2.48767"
"SDSSJ074920.08+175147.75","-10.0583","0.9272,0.57340","F, G, K, M, K0","07:49:20.08,07:49:20.0819","+17:51:47.75,+17:51:47.8064","-3.732","-0.809","25.724","269.176","0.997383","6.19389"
"SDSSJ074754.55+184731.02","-10.222","0.9119,0.49268","F, G, K, M, G0","07:47:54.55,07:47:54.5526","+18:47:31.02,+18:47:31.096","-3.821","-1.04","36.323","268.839","0.991784","6.61784"
"SDSSJ074256.46+275946.95","-10.6738","0.9249,0.31170","F, G, K, M, F5","07:42:56.46,07:42:56.4617","+27:59:46.95,+27:59:46.9398","-0.89","-0.276","28.618","268.709","0.973184","10.6973"
"SDSSJ183155.19+205839.07","-10.5938","1.0365,0.61410","F, G, K, M","18:31:55.19,18:31:55.1875","+20:58:39.07,+20:58:38.9204","-4.77","-10.824","62.36","268.208","0.999383","1.60265"
"SDSSJ183402.98+215017.57","-10.9673","1.0534,0.64223","F, G, K, M","18:34:02.98,18:34:02.9795","+21:50:17.57,+21:50:17.4162","-1.816","-10.541","57.74","267.687","0.999483","2.84191"
"LMST_HVS7","-11.8493","0.8696,0.44728","F5","23:12:32.05,23:12:32.1362","+26:50:39.5,+26:50:39.9438","63.6","14.6","-196,-232.34","267.624","0.999683","0.972554"
"SDSSJ070157.88+304405.24","-10.5825","0.8046,0.36012","F, G, K, M","07:01:57.88,07:01:57.8836","+30:44:05.24,+30:44:05.2536","-1.479","0.026","16.296","267.126","0.997883","5.71189"
"SDSSJ234414.38+430403.72","-9.48819","1.1012,0.66150","F, G, K, M, G0","23:44:14.38,23:44:14.3783","+43:04:03.72,+43:04:03.7087","-3.933","0.058","-28.589","266.808","0.999383","3.54659"
"SDSSJ143406.17+563047.24","-11.5287","0.8082,0.42201","F, G, K, M, G0","14:34:06.17,14:34:06.1804","+56:30:47.24,+56:30:47.1666","4.425","-4.991","-13.584","265.188","0.999383","2.61737"
"SDSSJ082456.26+323805.79","-11.4803","0.6813,0.27210","F, G, K, M, F7","08:24:56.26,08:24:56.2621","+32:38:05.79,+32:38:05.7655","0.56","0.003","138.54","265.18","0.999083","7.15183"
"GaiaDR2 480565","-16.4372","1.2228","","05:30:30.5654","-43:42:33.6353","6.655","-9.353","","265.016","0.996083","6.97868"
"Pal9","-10.3172","0.9376,0.56371","F, G, K, M, G5","01:19:33.46,01:19:33.45,01:19:33.4577","+38:49:13.06,+38:49:13,+38:49:13.0747","-3.1","-8.5","-36.9,-50.289","265.001","0.999782","4.34155"
"GaiaDR2 584695","-17.2884","2.1320","","14:00:03.1094","-69:49:40.9133","-6.796","-0.722","8.5","264.004","0.983484","10.8196"
"SDSSJ105017.84-000114.84","-11.5848","0.7220,0.32901","F, G, K, M, F2, F8","10:50:17.84,10:50:17.8286","-00:01:14.84,-00:01:14.9036","-16.249","-4.162","-65.954,-61.373","263.611","0.999283","1.60341"
"SDSSJ180956.29+232555.23","-9.10851","1.1185,0.69316","F, G, K, M, G5","18:09:56.29,18:09:56.2897","+23:25:55.23,+23:25:55.2646","0.971","1.088","2.8795","263.495","0.999483","2.37585"
"TYC 8374-757-1","-14.8326","0.4505","","19:02:12.2803,19:02:12.0704","-46:39:12.087,-46:39:13.8851","-138.631","-116.42","71.8","263.35","0.999383","0.510676"
"SDSSJ222147.99+001711.67","-9.66779","1.1557,0.72255","F, G, K, M, K1","22:21:47.99,22:21:47.9866","+00:17:11.67,+00:17:11.7123","-9.519","-1.133","-16.72","263.23","0.999483","1.57629"
"SDSSJ085149.94+181136.17","-11.2525","0.8331,0.42453","F, G, K, M, G0","08:51:49.94,08:51:49.938","+18:11:36.17,+18:11:36.2187","-1.41","-0.292","-32.165","262.656","0.999383","4.33223"
"SDSSJ180225.43+241605.65","-10.5141","1.0741,0.62198","F, G, K, M, G5","18:02:25.43,18:02:25.428","+24:16:05.65,+24:16:05.5928","-1.909","-5.04","59.543","262.247","0.999483","4.33543"
"GaiaDR2 553179","-17.8684","1.9800","","07:45:21.3253","-44:53:26.6335","-1.462","3.101","80.86","262.07","0.999383","10.0039"
"SDSSJ032254.29+414358.54","-9.68449","1.0067,0.56976","F, G, K, M, F8","03:22:54.29,03:22:54.285","+41:43:58.54,+41:43:58.4982","-2.086","-0.501","-60.64","260.962","0.998783","4.47834"
"SDSSJ173453.83+075628.50","-9.82333","1.3694,0.86871","F, G, K, M, G9","17:34:53.83,17:34:53.8315","+07:56:28.5,+07:56:28.4522","0.462","1.557","-11.791","260.511","0.999683","2.49338"
"GaiaDR2 204506","-18.1318","1.9137","","19:30:05.2521","+31:32:36.1938","-2.671","-4.648","-104.15","257.427","0.983184","12.387"
"SDSSJ093342.56+443657.82","-11.3184","0.8397,0.32755","F, G, K, M, F8","09:33:42.56,09:33:42.5607","+44:36:57.82,+44:36:57.79","0.456","-0.084","-59.853","256.844","0.999083","9.16489"
"SDSSJ074801.28+181904.32","-9.88082","0.8058,0.48329","F, G, K, M, G0","07:48:01.28,07:48:01.2742","+18:19:04.32,+18:19:04.3597","-1.076","0.504","97.786","256.04","0.997483","6.4044"
"SDSSJ234446.22+462721.49","-9.55932","1.090,0.65986","F, G, K, M, K0","23:44:46.22,23:44:46.2154","+46:27:21.49,+46:27:21.4264","-3.695","-2.112","-47.945","255.779","0.997383","4.13111"
"SDSSJ011326.87+263336.54","-10.3802","0.8627,0.37293","F, G, K, M","01:13:26.87,01:13:26.8732","+26:33:36.54,+26:33:36.5586","-1.547","0.304","-52.121","254.905","0.997983","4.70192"
"SDSSJ092613.30+201253.07","-10.2841","0.8296,0.43603","F, G, K, M, G0","09:26:13.3,09:26:13.2946","+20:12:53.07,+20:12:53.0729","-1.528","0.754","76.797","253.833","0.997483","5.40863"
"SDSSJ113931.63+472307.94","-10.3042","0.9297,0.56084","F, G, K, M, G7","11:39:31.63,11:39:31.6338","+47:23:07.94,+47:23:07.92","3.837","-1.115","-22.706","253.647","0.999483","1.42205"
"SDSSJ082756.04+011028.70","-10.9825","0.7389,0.31721","F, G, K, M","08:27:56.04,08:27:56.0404","+01:10:28.7,+01:10:28.708","1.131","0.836","110.57","252.705","0.987384","11.5099"
"GaiaDR2 186726","-17.3618","1.7916","","21:10:00.6815","+35:03:47.5689","-2.12","-3.357","-46.07","252.326","0.999083","9.97336"
"SDSSJ053553.16+004051.61","-8.66319","1.2287,0.79506","F, G, K, M, G0","05:35:53.16,05:35:53.1568","+00:40:51.61,+00:40:51.5631","0.615","0.391","-5.9332","252.12","0.999283","2.73384"
"SDSSJ011226.04+472051.64","-10.138","0.8930,0.43611","F, G, K, M, F5","01:12:26.04,01:12:26.0364","+47:20:51.64,+47:20:51.6623","-1.72","-2.233","-27.561","251.639","0.999483","4.82868"
"GaiaDR2 379138","-16.449","1.7627,2.27578","","11:09:53.7794","-01:47:02.4545","-0.712","-5.779","-90.79","251.345","0.999583","5.67648"
"SDSSJ080531.08+191443.69","-11.3376","0.7797,0.34150","F, G, K, M, F8","08:05:31.08,08:05:31.0797","+19:14:43.69,+19:14:43.7225","-0.542","0.255","45.061","250.999","0.999383","7.58399"
"SDSSJ031104.34+414435.59","-9.02452","1.1914,0.70872","F, G, K, M, K1","03:11:04.34,03:11:04.343","+41:44:35.59,+41:44:35.5554","-0.769","0.362","-22.976","250.641","0.999383","2.67322"
"Li1","-10.6845","1.0146,0.59498","F, G, K, G8","17:25:24.12,17:25:24.1125","+56:57:09.6,+56:57:11.0112","-17.19","88.11","-103,-103.13","250.604","0.999782","0.412017"
"SDSSJ032055.61+412207.99","-10.0845","1.2238,0.79450","F, G, K, M, K1","03:20:55.61,03:20:55.6127","+41:22:07.99,+41:22:07.9592","0.516","0.753","-5.2958","250.175","0.999483","2.82512"
"SDSSJ173712.93+321518.17","-9.28521","0.9532,0.53856","F, G, K, M, G0","17:37:12.93,17:37:12.9368","+32:15:18.17,+32:15:18.0398","0.019","-8.883","7.6188","249.513","0.998683","3.27493"
"HiVel7","-11.8122","0.8005,0.37337","","12:42:10.1107","+27:10:17.9628","-49.324","20.919","466,-0.56","249.126","0.999782","0.356818"
"SDSSJ185443.02+190540.09","-8.9241","1.3703,0.94005","F, G, K, M","18:54:43.02,18:54:43.0254","+19:05:40.09,+19:05:40.0847","-1.926","-3.589","27.04","249.023","0.999683","2.576"
"LMST_HVS11","-12.3586","0.6235,0.21221","A0, A1","22:41:45.15,22:41:45.1343","+29:24:28.4,+29:24:27.8963","-15.3","-60.4","-210,-187.09","248.721","0.999683","1.6436"
"SDSSJ160419.74+365623.57","-10.3587","0.9772,0.54057","F, G, K, M, G5","16:04:19.74,16:04:19.7341","+36:56:23.57,+36:56:23.4494","1.388","-6.618","15.152","248.397","0.999583","2.86993"
"SDSSJ001755.41+350541.26","-10.4173","0.8278,0.43496","F, G, K, M, G0","00:17:55.41,00:17:55.4094","+35:05:41.26,+35:05:41.232","-2.725","-1.89","-63.345","248.132","0.998683","5.67211"
"SDSSJ233759.54+451444.91","-9.85598","1.1372,0.69527","F, G, K, M, K0","23:37:59.54,23:37:59.5364","+45:14:44.91,+45:14:44.8782","-4.86","-0.931","-62.895","248.099","0.999383","3.36792"
"Li14","-11.9871","0.7355,0.33675","F, G, K, F5","00:52:33.53,00:52:33.5306","+41:33:22.6,+41:33:22.6492","-48.83","-32.97","-30,-26.382","247.877","0.999683","2.01153"
"SDSSJ215649.16+462033.38","-9.83045","1.1826,0.68277","F, G, K, M, F8","21:56:49.16,21:56:49.1477","+46:20:33.38,+46:20:33.335","-3.446","-1.339","-33.321","246.761","0.999383","4.61653"
"SDSSJ092619.98+092919.75","-10.9547","0.7454,0.34379","F, G, K, M, F7","09:26:19.98,09:26:19.9811","+09:29:19.75,+09:29:19.7952","-1.821","0.41","68.145","246.647","0.998883","8.5381"
"Pal12","-10.1424","1.0352,0.65783","F, G, K, M, O9","02:54:50.19,02:54:50.18,02:54:50.1876","+33:31:58.47,+33:31:58.4,+33:31:58.4284","7.3","21.4","-62.4,-75.833","245.617","0.999583","4.25294"
"SDSSJ222514.87+392654.87","-11.1117","0.8506,0.43770","F, G, K, M, F5","22:25:14.87,22:25:14.8706","+39:26:54.87,+39:26:54.8456","-1.386","-3.436","-19.765","245.531","0.999583","5.27968"
"SDSSJ032048.82+411455.22","-10.0675","0.9070,0.50474","F, G, K, M, F9","03:20:48.82,03:20:48.8168","+41:14:55.22,+41:14:55.169","-1.669","-1.164","-98.415","245.507","0.998983","5.51781"
"SDSSJ233604.89+495742.45","-9.0587","1.0993,0.69822","F, G, K, M, G5","23:36:04.89,23:36:04.8826","+49:57:42.45,+49:57:42.5282","-5.136","-0.826","-65.718","245.442","0.999383","3.14698"
"SDSSJ124313.57+151414.82","-11.2653","0.7700,0.34810","F, G, K, M, F8","12:43:13.57,12:43:13.5673","+15:14:14.82,+15:14:14.7988","-1.935","0.264","-51.741","245.221","0.999283","9.5396"
"SDSSJ070102.98+123754.14","-10.1069","0.9415,0.58900","F, G, K, M, G0","07:01:02.98,07:01:02.9818","+12:37:54.14,+12:37:54.1677","0.273","0.093","16.69","244.862","0.999583","4.6517"
"SDSSJ074232.64+211017.80","-11.9452","0.5797,0.42354","F, G, K, M, G5","07:42:32.64,07:42:32.6335","+21:10:17.8,+21:10:17.8341","-1.374","-1.777","23.823","244.86","0.917486","17.1347"
"SDSSJ065919.68+122028.30","-10.8511","0.7934,0.37160","F, G, K, M","06:59:19.68,06:59:19.6801","+12:20:28.3,+12:20:28.3031","0.582","0.307","19.277","244.715","0.999383","3.77058"
"SDSSJ074931.54+264335.66","-10.7935","0.8890,0.46294","F, G, K, M, G0","07:49:31.54,07:49:31.5355","+26:43:35.66,+26:43:35.6764","-1.519","-0.944","-10.988","244.423","0.999483","6.93493"
"SDSSJ202223.58+143533.38","-10.8076","0.8826,0.47133","F, G, K, M, F8","20:22:23.58,20:22:23.5688","+14:35:33.38,+14:35:33.2506","-5.723","-4.919","-0.29693","243.902","0.998683","4.91774"
"SDSSJ072523.53+350313.28","-9.54738","0.940,0.55594","F, G, K, M, G5","07:25:23.53,07:25:23.5318","+35:03:13.28,+35:03:13.2538","-0.928","-0.853","-6.5754","243.792","0.999483","2.81588"
"SDSSJ075627.42+274144.58","-10.0824","0.8893,0.45255","F, G, K, M, G5","07:56:27.42,07:56:27.4165","+27:41:44.58,+27:41:44.5756","-0.12","-0.361","-3.6877","243.528","0.999583","6.49839"
"Pal16","-10.1252","1.0122,0.57161","F, G, K, M, G8","07:47:28.85,07:47:28.84,07:47:28.8482","+18:55:20.49,+18:55:20.4,+18:55:20.5019","-5.2","1.1","35.5,32.352","242.879","0.999583","3.21513"
"SDSSJ083829.91+175601.98","-10.3236","0.6798,0.39748","F, G, K, M","08:38:29.91,08:38:29.9076","+17:56:01.98,+17:56:01.9852","0.08","-0.842","-20.098","242.751","0.999483","5.11653"
"SDSSJ070537.17+132309.48","-10.4675","0.8272,0.40721","F, G, K, M","07:05:37.17,07:05:37.169","+13:23:09.48,+13:23:09.4686","-1.281","-0.581","33.599","242.546","0.999083","7.61856"
"HIP60350","-10.3618","0.8724,0.492075","B","12:24:30.23,12:24:30.0497","+34:57:58.72,+34:57:59.3873","-13.51","16.34","262,-0.4","242.54","0.999583","0.0889543"
"SDSSJ233707.58+495357.71","-9.10437","1.1406,0.69898","F, G, K, M, K1","23:37:07.58,23:37:07.5836","+49:53:57.71,+49:53:57.6989","0.304","-1.537","-7.8251","241.366","0.999583","2.25416"
"SDSSJ082622.27+132728.33","-10.8591","0.7492,0.32479","F, G, K, M, G0","08:26:22.27,08:26:22.2643","+13:27:28.33,+13:27:28.3728","-0.892","-0.167","24.033","241.07","0.999483","6.60928"
"SDSSJ075516.37+662909.15","-10.656","0.6980,0.35573","F, G, K, M","07:55:16.37,07:55:16.3686","+66:29:09.15,+66:29:09.1124","0.747","0.316","-57.295","240.838","0.999483","7.93581"
"SDSSJ083123.42-032924.01","-11.2313","0.8049,0.41192","F, G, K, M, F9","08:31:23.42,08:31:23.4167","-03:29:24.01,-03:29:23.9983","-1.508","1.099","113.96","240.499","0.998783","8.40762"
"SDSSJ151420.9+351335.8","-4.49808","1.8865,1.80281","M4, M0","15:14:20.9,15:14:20.7944","+35:13:35.8,+35:13:36.4066","-278","181","-193,-170.15","240.376","0.999583","0.424265"
"SDSSJ202225.45+140602.39","-9.30383","1.2688,0.60129","F, G, K, M, K0","20:22:25.45,20:22:25.45","+14:06:02.39,+14:06:02.3393","-2.219","-5.881","22.502","240.065","0.999683","3.18363"
"SDSSJ074811.00+282130.39","-10.1268","0.6389,0.28351","F, G, K, M, G0","07:48:11,07:48:11.0016","+28:21:30.39,+28:21:30.3868","1.549","-0.808","-27.892","239.966","0.999583","4.36083"
"SDSSJ044827.52+221051.07","-9.35556","1.3899,0.94428","F, G, K, M, G9","04:48:27.52,04:48:27.5162","+22:10:51.07,+22:10:50.9753","0.775","-0.346","12.558","239.599","0.999583","3.23051"
"TYC 3945-1023-1","-13.1237","0.6892","","20:16:58.6054,20:16:58.5934","+56:34:18.709,+56:34:18.6921","-6.197","-5.547","-18.79,-25.04","239.089","0.999583","1.31464"
"SDSSJ085000.71+113234.74","-10.5731","0.8108,0.15809","F, G, K, M, G1","08:50:00.71,08:50:00.7083","+11:32:34.74,+11:32:34.7814","0.556","0.021","35.752","239.044","0.999283","8.2229"
"Pal15","-10.6611","1.0010,0.55279","G, K, G8","09:58:16.39,09:58:16.3965","+00:52:24.4,+00:52:24.3614","1.1","-2.2","1.6,3.2,-8.0687","239.034","0.999782","3.48654"
"GaiaDR2 537049","-17.4641","1.8424","","11:34:54.8049","-48:52:33.8592","-5.179","-2.647","34.4","239.009","0.999583","8.85644"
"SDSSJ080930.63-075408.47","-9.6128","1.3472,0.98936","F, G, K, M","08:09:30.63,08:09:30.6277","-07:54:08.47,-07:54:08.3784","-3.138","1.444","57.418","239.007","0.999383","3.08113"
"SDSSJ045025.80-041616.68","-11.5359","0.6545,0.27970","F, G, K, M","04:50:25.8,04:50:25.801","-04:16:16.68,-04:16:16.6824","-0.254","-0.262","39.25","238.446","0.999583","6.41948"
"SDSSJ065319.11+291712.28","-12.1011","0.7204,0.33671","F, G, K, M","06:53:19.11,06:53:19.1105","+29:17:12.28,+29:17:12.3092","0.342","-0.398","30.546","238.414","0.999583","4.0966"
"SDSSJ081928.51+003548.56","-10.0069","0.9235,0.50421","F, G, K, M, G0","08:19:28.51,08:19:28.5045","+00:35:48.56,+00:35:48.6434","-5.686","2.558","68.776","238.231","0.999583","1.61977"
"SDSSJ081210.06+001211.10","-10.9671","0.7442,0.32350","F, G, K, M, F5","08:12:10.06,08:12:10.0632","+00:12:11.1,+00:12:11.1109","-0.38","0.144","45.263","237.93","0.998383","10.5181"
"SDSSJ073554.05+221533.98","-10.4217","1.0505,0.65472","F, G, K, M, K0","07:35:54.05,07:35:54.047","+22:15:33.98,+22:15:33.9514","-2.377","-1.459","17.86","237.889","0.999683","5.57975"
"SDSSJ030445.87+374854.17","-9.6079","1.1790,0.69874","F, G, K, M, K0","03:04:45.87,03:04:45.87","+37:48:54.17,+37:48:54.1784","-0.171","-2.171","6.366","237.814","0.999583","3.3709"
"SDSSJ212128.12+103730.26","-10.8016","0.9338,0.54118","F, G, K, M, G5","21:21:28.12,21:21:28.1228","+10:37:30.26,+10:37:30.1807","1.065","-0.918","-2.0171","237.802","0.999683","4.23184"
"SDSSJ070103.95+293953.96","-10.5067","0.7567,0.35252","F, G, K, M, F6","07:01:03.95,07:01:03.9483","+29:39:53.96,+29:39:53.9127","0.49","-1.077","-19.091","237.781","0.999583","3.05843"
"SDSSJ080201.62+200637.31","-10.8908","0.7218,0.35291","F, G, K, M","08:02:01.62,08:02:01.6217","+20:06:37.31,+20:06:37.343","0.2","-0.203","19.326","237.617","0.999483","7.21974"
"SDSSJ203349.13+153932.88","-11.0508","0.8438,0.42975","F, G, K, M, F9","20:33:49.13,20:33:49.1373","+15:39:32.88,+15:39:32.9252","3.781","6.314","-47.847","237.043","0.999683","1.1487"
"Pal10","-10.0685","1.0871,0.61283","F, G, K, M, G8","17:26:30.61,17:26:30.6,17:26:30.5995","+07:55:44.1,+07:55:44,+07:55:44.0636","-6.213","1.564","-37.6,-16.335","236.799","0.999683","4.50729"
"SDSSJ082716.24-050251.01","-10.9188","0.6913,0.33518","F, G, K, M, F0","08:27:16.24,08:27:16.2487","-05:02:51.01,-05:02:50.9749","-1.461","0.712","98.361","236.789","0.997283","9.16647"
"SDSSJ090810.59+393808.36","-9.88511","0.9556,0.49424","F, G, K, M, G0","09:08:10.59,09:08:10.5935","+39:38:08.36,+39:38:08.3295","-0.147","-0.644","16.33","236.78","0.999583","4.82234"
"SDSSJ075238.30+290658.84","-10.2022","0.8007,0.37591","F, G, K, M, G0","07:52:38.3,07:52:38.3023","+29:06:58.84,+29:06:58.8654","-1.374","-1.064","-4.81","236.583","0.999483","5.98041"
"SDSSJ074713.75+440557.56","-9.23775","0.7643,0.41972","F, G, K, M, F9","07:47:13.75,07:47:13.7542","+44:05:57.56,+44:05:57.538","0.389","-1.162","2.2283","236.223","0.999583","2.52158"
"SDSSJ182630.57+215302.70","-10.3546","0.9975,0.51315","F, G, K, M","18:26:30.57,18:26:30.5679","+21:53:02.7,+21:53:02.6699","-0.288","-7.188","7.7816","236.169","0.999782","4.82133"
"SDSSJ024605.10+312254.29","-9.76674","1.0220,0.62021","F, G, K, M, G0","02:46:05.1,02:46:05.1023","+31:22:54.29,+31:22:54.2733","0.051","-0.469","-22.26","235.761","0.999383","5.69675"
"SDSSJ085405.73+204300.13","-8.81331","1.4113,1.01871","F, G, K, M, K5","08:54:05.73,08:54:05.7263","+20:43:00.13,+20:43:00.141","-3.23","-0.701","38.152","235.625","0.999583","1.69334"
"SDSSJ113018.7-030506.4","-6.31118","1.9381,1.45659","M2","11:30:18.7,11:30:18.6824","-03:05:06.4,-03:05:06.7931","-174","-206","47,-11.91","235.332","0.999782","0.682762"
"SDSSJ073921.43+444537.50","-10.9719","0.8501,0.40387","F, G, K, M, F9","07:39:21.43,07:39:21.427","+44:45:37.5,+44:45:37.4452","1.615","-1.1","-55.182","235.291","0.999583","2.78299"
"SDSSJ015016.53+143259.09","-10.3389","0.1680,0.46439","F, G, K, M, G1","01:50:16.53,01:50:16.527","+14:32:59.09,+14:32:59.0754","1.238","-0.097","8.0421","235.119","0.999583","5.54689"
"SDSSJ025347.64+323620.59","-10.329","0.9803,0.48392","F, G, K, M, F9","02:53:47.64,02:53:47.6391","+32:36:20.59,+32:36:20.559","-0.711","-0.934","-63.397","234.137","0.999383","6.28223"
"SDSSJ070327.47+120225.34","-9.94937","1.1026,0.50175","F, G, K, M, G0","07:03:27.47,07:03:27.468","+12:02:25.34,+12:02:25.3232","-1.621","-0.706","59.041","233.476","0.999583","3.9817"
"SDSSJ204132.64+152708.00","-11.4174","0.8323,0.48349","F, G, K, M","20:41:32.64,20:41:32.6383","+15:27:08,+15:27:07.9938","-1.992","-4.828","-108.79","233.366","0.931386","12.2484"
"SDSSJ122842.6-023247.4","-4.90715","1.7694,1.76377","M3, M0","12:28:42.6,12:28:42.6677","-02:32:47.4,-02:32:48.9767","171","-279","116,118.96","232.561","0.999483","0.480235"
"SDSSJ075309.85+201917.2","-3.51051","2.7087,1.70369","M7, M2","07:53:09.85,07:53:09.8454","+20:19:17.2,+20:19:17.1264","-24.6","-87.6","97.1,19.173","231.786","0.999683","0.22393"
"SDSSJ084210.86+052305.58","-10.5109","0.6829,0.31031","F, G, K, M","08:42:10.86,08:42:10.8556","+05:23:05.58,+05:23:05.5449","-1.835","-0.377","34.507","231.645","0.999483","5.01671"
"SDSSJ090534.10+405537.78","-10.7375","0.8428,0.46941","F, G, K, M, G1","09:05:34.1,09:05:34.0988","+40:55:37.78,+40:55:37.6915","-0.853","-1.047","3.2557","231.628","0.999583","3.88767"
"SDSSJ090003.97+111858.98","-10.4044","0.7168,0.43438","F, G, K, M, F8","09:00:03.97,09:00:03.9614","+11:18:58.98,+11:18:58.9713","-0.806","-0.459","22.637","231.554","0.999583","5.00166"
"SDSSJ065258.59+292553.47","-9.61646","1.0206,0.60602","F, G, K, M, G5","06:52:58.59,06:52:58.5892","+29:25:53.47,+29:25:53.4597","-0.622","-1.565","-5.6276","231.394","0.999583","3.46308"
"SDSSJ000613.04+291353.34","-10.1704","0.8491,0.51851","F, G, K, M, G5","00:06:13.04,00:06:13.034","+29:13:53.34,+29:13:53.3366","-2.423","-3.749","-85.146","230.897","0.995283","6.2862"
"SDSSJ075101.46+375539.93","-11.3384","0.8183,0.27000","F, G, K, M, F2","07:51:01.46,07:51:01.4623","+37:55:39.93,+37:55:39.9209","0.199","-0.491","44.557","230.84","0.999483","8.83286"
"SDSSJ164601.29+205702.81","-10.0391","1.0814,0.59053","F, G, K, M, G8","16:46:01.29,16:46:01.2981","+20:57:02.81,+20:57:02.8204","1.469","-2.457","-37.556","230.665","0.999683","5.44616"
"SDSSJ093750.49+520739.33","-11.0037","0.7442,0.33713","F, G, K, M, F9","09:37:50.49,09:37:50.4938","+52:07:39.33,+52:07:39.2955","2.13","-1.455","-53.921","230.598","0.999583","3.70608"
"SDSSJ000727.58+260741.33","-8.25198","0.9350,0.56747","F, G, K, M, G8","00:07:27.58,00:07:27.5805","+26:07:41.33,+26:07:41.3203","-1.143","-5.646","-11.469","230.506","0.999683","1.58662"
"SDSSJ023431.41+284438.98","-10.1622","1.0200,0.47933","F, G, K, M","02:34:31.41,02:34:31.4201","+28:44:38.98,+28:44:38.9878","-0.4","-0.662","-57.72","230.457","0.999683","6.52772"
"Li13","-11.8","0.7521,0.37876","F, G, K, F0","06:39:34.38,06:39:34.3861","+28:09:12.8,+28:09:13.0744","0.11","15.04","15,-23.813","230.315","0.999683","5.5"
"SDSSJ064531.12+275042.42","-9.76421","1.0593,0.6037","F, G, K, M, G0","06:45:31.12,06:45:31.1252","+27:50:42.42,+27:50:42.4193","-0.001","-1.373","10.058","230.142","0.999683","3.27343"
"GaiaDR2 548946","-17.0563","1.9424","","07:50:32.5333","-53:24:01.2853","-0.908","4.537","129.16","229.995","0.999283","9.19852"
"SDSSJ112847.51+653746.44","-10.5605","0.8589,0.45712","F, G, K, M, G5","11:28:47.51,11:28:47.4956","+65:37:46.44,+65:37:46.4564","-3.988","-1.163","39.248","229.797","0.998683","6.89346"
"SDSSJ124043.01+671034.68","-4.92147","-0.2883","","12:40:43.01,12:40:42.964","+67:10:34.68,+67:10:34.4461","-180","-90","","229.474","0.999882","0.421031"
"SDSSJ072944.56+382459.95","-10.7953","0.8868,0.50140","F, G, K, M, G0","07:29:44.56,07:29:44.565","+38:24:59.95,+38:24:59.9042","-1.935","-4.883","151.51","229.406","0.999583","4.43895"
"SDSSJ065138.67+365934.81","-10.4351","0.8888,0.44301","F, G, K, M, G1","06:51:38.67,06:51:38.6672","+36:59:34.81,+36:59:34.759","0.416","-0.982","-11.371","229.321","0.999683","4.47964"
"SDSSJ001706.67+340346.40","-10.498","0.7761,0.3658","F, G, K, M","00:17:06.67,00:17:06.6594","+34:03:46.4,+34:03:46.3583","-2.762","-1.34","-53.614","229.293","0.999683","2.62864"
"SDSSJ082410.12+301833.52","-10.9422","0.8386,0.36594","F, G, K, M","08:24:10.12,08:24:10.1192","+30:18:33.52,+30:18:33.5067","-0.204","-0.884","-19.12","229.104","0.999583","7.0271"
"SDSSJ070025.61+300628.50","-10.5073","0.9056,0.54225","F, G, K, M, G5","07:00:25.61,07:00:25.6142","+30:06:28.5,+30:06:28.453","-0.879","-1.397","51.532","228.747","0.999583","4.4431"
"SDSSJ070132.92+124539.10","-10.5765","0.9097,0.45935","F, G, K, M, G0","07:01:32.92,07:01:32.9255","+12:45:39.1,+12:45:39.1395","-1.173","-1.16","29.042","228.38","0.999683","6.21723"
"SDSSJ010757.52+464259.66","-10.6594","0.8124,0.39864","F, G, K, M","01:07:57.52,01:07:57.5211","+46:42:59.66,+46:42:59.6341","-1.62","0.066","-118.29","228.347","0.998483","6.76412"
"SDSSJ085508.04+031505.41","-10.9442","0.7174,0.24484","F, G, K, M, M1","08:55:08.04,08:55:08.0318","+03:15:05.41,+03:15:05.3827","0.845","-0.661","54.698","228.304","0.976384","13.4741"
"SDSSJ070533.27+393721.42","-10.6492","0.7487,0.33165","F, G, K, M","07:05:33.27,07:05:33.2712","+39:37:21.42,+39:37:21.441","1.03","-0.892","-54.862","227.805","0.999483","5.52223"
"SDSSJ011935.66+010127.60","-10.3738","1.0473,0.52612","F, G, K, M, G8","01:19:35.66,01:19:35.6656","+01:01:27.6,+01:01:27.5827","3.803","0.229","31.18","227.413","0.999683","5.18821"
"SDSSJ092843.92+220642.44","-9.85919","0.9823,0.57164","F, G, K, M, G8","09:28:43.92,09:28:43.921","+22:06:42.44,+22:06:42.4164","-1.617","-1.476","-8.7137","226.996","0.999782","4.2077"
"SDSSJ183614.43+214528.91","-9.85536","1.2441,-0.08844","F, G, K, M, G9","18:36:14.43,18:36:14.4455","+21:45:28.91,+21:45:28.7695","-2.587","-4.329","14.443","226.843","0.999683","4.60572"
